Epoch: 0, training loss: 0.048517016933854275
Epoch: 1, training loss: 0.04049985753280221
Epoch: 2, training loss: 0.03871892396475222
Epoch: 3, training loss: 0.03796383461038755
Epoch: 4, training loss: 0.03765727937152143
Epoch: 5, training loss: 0.0373604783431045
Epoch: 6, training loss: 0.037136955812001333
Epoch: 7, training loss: 0.03664601277586289
Epoch: 8, training loss: 0.0365769432394178
Epoch: 9, training loss: 0.036307701707266056
Epoch: 10, training loss: 0.03603087488676078
Epoch: 11, training loss: 0.03590644617946826
Epoch: 12, training loss: 0.035640750096891334
Epoch: 13, training loss: 0.03547022226814169
Epoch: 14, training loss: 0.03542761500506236
Epoch: 15, training loss: 0.03531317102489058
Epoch: 16, training loss: 0.035027473077438774
Epoch: 17, training loss: 0.034940738097994674
Epoch: 18, training loss: 0.034842079277767495
Epoch: 19, training loss: 0.03478879922700566
Epoch: 20, training loss: 0.03465858994172851
Epoch: 21, training loss: 0.03457861950107509
Epoch: 22, training loss: 0.034542620588613744
Epoch: 23, training loss: 0.034440070919703886
Epoch: 24, training loss: 0.03432689933286448
Epoch: 25, training loss: 0.034257483598333555
Epoch: 26, training loss: 0.03429324324289833
Epoch: 27, training loss: 0.03412887472066001
Epoch: 28, training loss: 0.034004681608756714
Epoch: 29, training loss: 0.033968847171082284
Epoch: 30, training loss: 0.03399078272982364
Epoch: 31, training loss: 0.033945572475201705
Epoch: 32, training loss: 0.033817101602390424
Epoch: 33, training loss: 0.03372511457438676
Epoch: 34, training loss: 0.033556346041384154
Epoch: 35, training loss: 0.03363816759764178
Epoch: 36, training loss: 0.033460354138063544
Epoch: 37, training loss: 0.03338727464301399
Epoch: 38, training loss: 0.03334702375682658
Epoch: 39, training loss: 0.03344885867296832
Epoch: 40, training loss: 0.03328486063673123
Epoch: 41, training loss: 0.03325936719655475
Epoch: 42, training loss: 0.033202455495253545
Epoch: 43, training loss: 0.033256817938294866
Epoch: 44, training loss: 0.03309811725009165
Epoch: 45, training loss: 0.03308189854369519
Epoch: 46, training loss: 0.033068024433530456
Epoch: 47, training loss: 0.033022584211499124
Epoch: 48, training loss: 0.033046408944927004
Epoch: 49, training loss: 0.032987320186709516
Epoch: 50, training loss: 0.033015907796407666
Epoch: 51, training loss: 0.03282847900988087
Epoch: 52, training loss: 0.03284359631236277
Epoch: 53, training loss: 0.032925829248052915
Epoch: 54, training loss: 0.03283406662549081
Epoch: 55, training loss: 0.03272336365767368
Epoch: 56, training loss: 0.032641316866449575
Epoch: 57, training loss: 0.03263409757569176
Epoch: 58, training loss: 0.03267104345003784
Epoch: 59, training loss: 0.032557993211307895
Epoch: 60, training loss: 0.03264052591343261
Epoch: 61, training loss: 0.03259615082252765
Epoch: 62, training loss: 0.03251565591921878
Epoch: 63, training loss: 0.03243628939541306
Epoch: 64, training loss: 0.03242035674784281
Epoch: 65, training loss: 0.0324403453228549
Epoch: 66, training loss: 0.03234607678900146
Epoch: 67, training loss: 0.03242002558495277
Epoch: 68, training loss: 0.032440928301643544
Epoch: 69, training loss: 0.03244041319200663
Epoch: 70, training loss: 0.032355716028925355
Epoch: 71, training loss: 0.03235744488070509
Epoch: 72, training loss: 0.032360399172739196
Epoch: 73, training loss: 0.03228665011445138
Epoch: 74, training loss: 0.03223055778894056
Epoch: 75, training loss: 0.03207529498391604
Epoch: 76, training loss: 0.0321885546068291
Epoch: 77, training loss: 0.03199312934031147
Epoch: 78, training loss: 0.03185728851166443
Epoch: 79, training loss: 0.031737285430105455
Epoch: 80, training loss: 0.03181359097553353
Epoch: 81, training loss: 0.03174577097162019
Epoch: 82, training loss: 0.03184559268769573
Epoch: 83, training loss: 0.031753641771489864
Epoch: 84, training loss: 0.031756110604533726
Epoch: 85, training loss: 0.031700363448014315
Epoch: 86, training loss: 0.031673488991434205
Epoch: 87, training loss: 0.03168484325355544
Epoch: 88, training loss: 0.031662382760618064
Epoch: 89, training loss: 0.03159400626442895
Epoch: 90, training loss: 0.03149880887241183
Epoch: 91, training loss: 0.031476210821088445
Epoch: 92, training loss: 0.03155582749975109
Epoch: 93, training loss: 0.03159313055675126
Epoch: 94, training loss: 0.03145256374023427
Epoch: 95, training loss: 0.03143573210922091
Epoch: 96, training loss: 0.03154801834478133
Epoch: 97, training loss: 0.031483786978888206
Epoch: 98, training loss: 0.03151282889721486
Epoch: 99, training loss: 0.031529309944875177
