train LeroModelPairWise
Epoch: 0, training loss: 0.5535865546864916
Epoch: 1, training loss: 0.46234396493436664
Epoch: 2, training loss: 0.41402987314142464
Epoch: 3, training loss: 0.3827732364004847
Epoch: 4, training loss: 0.354596559211748
Epoch: 5, training loss: 0.32901507738016444
Epoch: 6, training loss: 0.3087869771355702
Epoch: 7, training loss: 0.28858980997129113
Epoch: 8, training loss: 0.27081738604677247
Epoch: 9, training loss: 0.2525100609314028
Epoch: 10, training loss: 0.2410902744825593
Epoch: 11, training loss: 0.22739009468003962
Epoch: 12, training loss: 0.21486326896094524
Epoch: 13, training loss: 0.20619785147813127
Epoch: 14, training loss: 0.19892224180326826
Epoch: 15, training loss: 0.18945944262685865
Epoch: 16, training loss: 0.18234162597703799
Epoch: 17, training loss: 0.1773965042956522
Epoch: 18, training loss: 0.1697898678202343
Epoch: 19, training loss: 0.16185245534952084
Epoch: 20, training loss: 0.1556470151671369
Epoch: 21, training loss: 0.15328183323073985
Epoch: 22, training loss: 0.14823851821685288
Epoch: 23, training loss: 0.13964492267734283
Epoch: 24, training loss: 0.13489222223061148
Epoch: 25, training loss: 0.13363375588850634
Epoch: 26, training loss: 0.1318224274581616
Epoch: 27, training loss: 0.12423969642585447
Epoch: 28, training loss: 0.12149734447856114
Epoch: 29, training loss: 0.12172893572410604
Epoch: 30, training loss: 0.11935702777489443
Epoch: 31, training loss: 0.11762520168602467
Epoch: 32, training loss: 0.10851301372198971
Epoch: 33, training loss: 0.10938011492664647
Epoch: 34, training loss: 0.11231997149101677
Epoch: 35, training loss: 0.10688226703596157
Epoch: 36, training loss: 0.10527824521065111
Epoch: 37, training loss: 0.10217309412419295
Epoch: 38, training loss: 0.09900891495866368
Epoch: 39, training loss: 0.10289812326043866
Epoch: 40, training loss: 0.09642794274195568
Epoch: 41, training loss: 0.09571162106440625
Epoch: 42, training loss: 0.09106537536366609
Epoch: 43, training loss: 0.09048931191012646
Epoch: 44, training loss: 0.09259365155158647
Epoch: 45, training loss: 0.08361946152999673
Epoch: 46, training loss: 0.08921794317080688
Epoch: 47, training loss: 0.08224614075470547
Epoch: 48, training loss: 0.08334253556747145
Epoch: 49, training loss: 0.07925875392848773
Epoch: 50, training loss: 0.07848641380525893
Epoch: 51, training loss: 0.08112447639288761
Epoch: 52, training loss: 0.07895535231551741
Epoch: 53, training loss: 0.07893929978288156
Epoch: 54, training loss: 0.07698612726294897
Epoch: 55, training loss: 0.07655495343879448
Epoch: 56, training loss: 0.07237527468143523
Epoch: 57, training loss: 0.07166719677106645
Epoch: 58, training loss: 0.0729491733812135
Epoch: 59, training loss: 0.0711075831833385
Epoch: 60, training loss: 0.07405241271377476
Epoch: 61, training loss: 0.07375434530922031
Epoch: 62, training loss: 0.06619183037169658
Epoch: 63, training loss: 0.06827295347705721
Epoch: 64, training loss: 0.0663476652588211
Epoch: 65, training loss: 0.06691061543829527
Epoch: 66, training loss: 0.06297019348287997
Epoch: 67, training loss: 0.06322615909040556
Epoch: 68, training loss: 0.06768401803916364
Epoch: 69, training loss: 0.0665823064534303
Epoch: 70, training loss: 0.0656837444742563
Epoch: 71, training loss: 0.061105775493620354
Epoch: 72, training loss: 0.060980853034756886
Epoch: 73, training loss: 0.05847571706015484
Epoch: 74, training loss: 0.062411985975970696
Epoch: 75, training loss: 0.06604070365768447
Epoch: 76, training loss: 0.05818229690036384
Epoch: 77, training loss: 0.056801912545208944
Epoch: 78, training loss: 0.059848213728353604
Epoch: 79, training loss: 0.05415447618743374
Epoch: 80, training loss: 0.05805910643644735
Epoch: 81, training loss: 0.058914285498307
Epoch: 82, training loss: 0.056506756540677563
Epoch: 83, training loss: 0.05611439453430749
Epoch: 84, training loss: 0.05519881361750603
Epoch: 85, training loss: 0.05345430809177658
Epoch: 86, training loss: 0.05160731960437224
Epoch: 87, training loss: 0.05509564516973021
Epoch: 88, training loss: 0.05517898883114214
Epoch: 89, training loss: 0.0527728358114157
Epoch: 90, training loss: 0.055124470452089645
Epoch: 91, training loss: 0.04734272669970156
Epoch: 92, training loss: 0.051644801396354884
Epoch: 93, training loss: 0.05456877587674446
Epoch: 94, training loss: 0.05393747414485414
Epoch: 95, training loss: 0.0468503471843511
Epoch: 96, training loss: 0.055319502255749435
Epoch: 97, training loss: 0.05528485880832754
Epoch: 98, training loss: 0.04466193003837442
Epoch: 99, training loss: 0.0560639869637279
